Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
487,1.39E+10,7.01E+07,0.74084,2.42E+05
488,1.59E+10,4.88E+07,0.73716,88314
489,1.57E+10,3.76E+07,0.74782,1.03E+05
490,1.29E+10,1.10E+07,0.7646,3.49E+05
491,1.86E+10,9.00E+06,0.74003,0
492,1.76E+10,1.03E+07,0.73407,23488
493,1.45E+10,1.15E+08,0.72177,1.41E+05
494,1.19E+10,8.27E+06,0.75644,3.75E+05
495,1.71E+10,7.63E+07,0.70268,39705
496,1.41E+10,6.26E+07,0.72291,1.62E+05
497,1.05E+10,1.72E+07,0.75692,6.18E+05
498,1.82E+10,1.09E+08,0.6876,0
499,1.68E+10,5.39E+07,0.73173,50167
500,1.68E+10,1.54E+07,0.73197,53324
501,1.34E+10,3.91E+07,0.75304,2.91E+05
502,1.58E+10,8.13E+07,0.67937,93016
503,1.59E+10,8.11E+07,0.73365,95172
504,1.17E+10,4.38E+07,0.73755,5.25E+05
505,6.34E+10,3.42E+09,0.37733,0
506,5.10E+10,2.91E+09,0.38848,1.15E+05
507,4.70E+10,2.41E+09,0.35598,1.70E+05
508,2.20E+10,3.17E+09,0.30467,1.18E+06
509,4.90E+10,2.52E+09,0.31286,1.40E+05
510,4.51E+10,2.71E+09,0.32545,2.01E+05
511,1.92E+10,2.78E+09,0.33114,1.56E+06
512,6.34E+10,2.59E+07,0.22846,0
513,5.53E+10,44203,0.17197,69291
514,5.04E+10,4.70E+05,0.19851,1.24E+05
515,2.40E+10,41344,0.22014,1.00E+06
516,5.44E+10,2.13E+05,0.22663,77894
517,5.01E+10,50084,0.21721,1.29E+05
518,2.36E+10,3.05E+07,0.26464,1.04E+06
519,6.47E+10,6.37E+07,0.21589,0
520,5.89E+10,2.12E+07,0.2594,34271
521,3.93E+10,49851,0.23906,2.38E+05
522,2.01E+10,61531,0.22911,1.08E+06
523,5.87E+10,53747,0.18555,35417
524,3.92E+10,8.13E+07,0.21863,2.41E+05
525,1.82E+10,61627,0.23968,1.34E+06
526,6.34E+10,42442,0.20817,0
527,5.54E+10,41975,0.22264,68188
528,5.08E+10,3.95E+06,0.22115,1.19E+05
529,2.39E+10,5.05E+06,0.2647,1.01E+06
530,5.43E+10,2.95E+07,0.22183,79552
531,4.99E+10,7.48E+05,0.25202,1.31E+05
532,2.18E+10,42406,0.24173,1.23E+06
533,3.63E+10,1.28E+09,0.5749,0
534,3.20E+10,9.61E+08,0.52072,67441
535,3.06E+10,1.09E+09,0.53476,96547
536,1.89E+10,1.15E+09,0.59178,6.09E+05
537,2.90E+10,1.24E+09,0.55553,1.30E+05
538,2.76E+10,8.96E+08,0.56837,1.70E+05
539,1.55E+10,1.10E+09,0.57407,1.02E+06
540,3.63E+10,8.90E+08,0.45188,0
