Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
301,0.039880806,0.173385599,0.488422986,0.400224015
302,0.036448793,0.184590739,0.523708526,0.40411133
303,0.021683527,0.02292819,0.213999187,0.847886449
304,0.762354721,0.946977944,0.026447191,0.336511582
305,0.150099491,0.626514011,0.473075499,0.231158759
306,0.494983675,0.621830604,0.094265125,0.19552347
307,0.096619748,0.672432831,0.7112825,0.213868208
308,0.318497929,0.173614534,0.047660082,0.334177311
309,0.017709056,0.141538644,0.678642779,0.39858626
310,0.394237659,0.397702815,0.048953441,0.377069548
311,0.172531192,0.069289396,0.026447191,0.691198479
312,0.193849943,0.633723072,0.481136875,0.221727549
313,0.701323959,0.034138232,0.05445892,0.077840422
314,0.861413009,0.042812487,0.026447191,0.028820722
315,0.234662223,0.639253581,0.31452612,0.356522312
316,0.486454448,3.90E-06,0.092145483,0.077501577
317,0.298573912,0.262086511,0.070044817,0.532439784
318,0.24183964,0.089228751,0.089548969,0.433459146
319,0.116998157,0.151812128,0.246450147,0.406445601
320,0.238531745,0.621792621,0.276854262,0.22741263
321,0.522317889,0.563225987,0.082463301,0.262680835
322,0.206479154,0.635505808,0.335177796,0.213858795
323,0.459660879,4.76E-06,0.089402099,0.132827575
324,0.139660434,0.297785319,0.21374457,0.574136649
325,0.211825631,0.109256185,0.095346092,0.414455541
326,0.322101876,0.161748191,0.047661879,0.331871276
327,0.21981114,0.629671958,0.305116713,0.283661041
328,0.209241802,0.68786384,0.329902464,0.206215939
329,0.142900191,0.231910202,0.207682788,0.572037687
330,0.400901733,0.312965536,0.026447191,0.369624352
331,0.10728563,0.144020286,0.240536212,0.371299756
332,0.219744001,0.155001101,0.090577668,0.36898431
333,0.591022073,0.685364938,0.063146979,0.191692629
334,0.542436259,0.658199425,0.073689354,0.259734759
335,0.22156484,0.531105075,0.29170005,0.273288593
336,0.512459969,0.548210141,0.082623272,0.261306627
337,0.416570888,5.01E-06,0.100907339,0.122144518
338,0.444257705,0.008176214,0.091375364,0.091441318
339,0.196772855,0.248169334,0.127441416,0.498526962
340,0.332741794,0.130333828,0.043014815,0.399207477
341,0.221876822,0.14971048,0.086660457,0.442457385
342,0.106689797,0.124885508,0.231981239,0.38690549
343,0.319716319,0.108165068,0.046568139,0.557269655
344,0.213925752,0.119796922,0.09084846,0.380072099
345,0.115132445,0.042065618,0.038104722,0.706879512
346,0.080928134,0.017117144,0.065280071,0.795732425
347,0.173232026,0.035684573,0.026447191,0.733958943
348,0.642490925,0.700786622,0.071161761,0.16817108
349,0.313691529,0.69213271,0.271989378,0.2216146
350,0.369578803,0.400103829,0.049468073,0.447897744
351,0.373495263,0.324754288,0.047310695,0.479429233
352,0.274167471,0.1874312,0.086034232,0.240486432
353,0.297763698,0.642452779,0.28193268,0.210705646
354,0.531633094,0.002849203,0.088896956,0.048963226
355,0.273638268,0.149215356,0.083421949,0.367083008
356,0.641758302,0.600251147,0.062332419,0.245917378
357,0.147661305,0.597731113,0.533049056,0.274851049
358,0.735762094,0.022562627,0.040163563,0.086142146
359,0.082902192,0.277395168,0.392062335,0.535442335
360,0.35668749,0.191097944,0.043714886,0.346564009
361,0.146377418,0.00997283,0.026447191,0.813615956
362,0.130557229,0.084501717,0.035503133,0.777312388
363,0.11644747,0.64228134,0.593021,0.181075459
364,0.500756345,0.588329551,0.093431634,0.230038685
365,0.098250777,0.664381062,0.692871202,0.277571228
366,0.407339448,0.003470709,0.111657791,0.062488823
367,0.091879319,0.247105644,0.317283523,0.494856132
368,0.256482122,0.327146569,0.082677581,0.468520279
369,0.028429286,0.105205172,0.53463919,0.440207825
370,0.180239934,0.124269221,0.120120665,0.353350338
371,0.033338412,0.135219683,0.508330156,0.41753339
372,0.015596467,0.025080167,0.219586735,0.873224589
373,0.497692991,0.678597345,0.094460571,0.271744962
374,0.101068797,0.599650093,0.676654535,0.274465141
375,0.40687842,0.00141189,0.111795882,0.078696949
376,0.103983753,0.230126747,0.283003166,0.535771768
377,0.067510029,0.195749798,0.413837809,0.587624596
378,0.397046844,0.240456498,0.026447191,0.36507817
379,0.19266713,0.158033083,0.109668941,0.369031371
380,0.045129073,0.094634069,0.424236028,0.403348927
381,0.194337174,0.165354514,0.108955381,0.345312162
382,0.032540354,0.137169997,0.514311109,0.399518086
383,0.069346964,0.016838997,0.077946929,0.773029753
384,0.027703834,0.002283118,0.169046278,0.806443719
385,0.108470946,0.032314084,0.041920341,0.753790838
386,0.0641034,0.017037844,0.084793067,0.753969673
387,0.010120916,0.026189477,0.247493983,0.815046638
388,0.759889305,0.888221864,0.026447191,0.276488804
389,0.132641164,0.555668893,0.508661605,0.259207665
390,0.50083579,0.576733422,0.089855605,0.242623043
391,0.114199929,0.57488276,0.589950223,0.247178638
392,0.688161345,4.23E-06,0.039358478,0.051024538
393,0.407903507,0.00829006,0.107758283,0.077774536
394,0.378681366,0.31496563,0.026447191,0.53546116
395,0.098264562,0.229609509,0.28629562,0.602430278
396,0.080407,0.275146609,0.346861155,0.55566955
397,0.053666915,0.127799963,0.365881855,0.444688121
398,0.18770264,0.131121433,0.110089884,0.38062743
399,0.130795246,0.047983974,0.026447191,0.748190469
400,0.07310675,0.006799618,0.070367798,0.792993421
401,0.017969902,0.02288496,0.194018046,0.81738091
402,0.106859597,0.029601509,0.040993645,0.738175692
403,0.067629989,0.002360547,0.077052585,0.835010307
404,0.019961595,0.001308993,0.190782964,0.841081295
405,0.615121678,0.73025228,0.110140709,0.250397673
